zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
32825,Orange,12095,orlando,FL-8,0.354,FL-10,SD-17,HD-43|HD-35,yes
32826,Orange,12095,orlando,FL-8,0.981,FL-10,SD-17,HD-37|HD-35,yes
32827,Orange,12095,orlando,FL-9,1.0,FL-9,SD-17|SD-25,HD-44|HD-35,no
32828,Orange,12095,orlando,FL-8,0.981,FL-10,SD-17,HD-35,yes
32829,Orange,12095,orlando,FL-8,0.646,FL-9|FL-10,SD-17,HD-43,yes
32829,Orange,12095,orlando,FL-10,0.354,FL-9|FL-10,SD-17,HD-43,yes
32830,Orange,12095,orlando,FL-11,1.0,FL-11,SD-13,HD-45,no
32831,Orange,12095,orlando,FL-8,1.0,FL-10,SD-17,HD-35|HD-43,yes
32832,Orange,12095,orlando,FL-9,1.0,FL-9,SD-17,HD-35|HD-43,no
32833,Orange,12095,orlando,FL-8,1.0,FL-8|FL-10,SD-17,HD-35,yes
32835,Orange,12095,orlando,FL-10,0.813,FL-10,SD-15|SD-13,HD-41|HD-45,yes
32835,Orange,12095,orlando,FL-11,0.187,FL-10,SD-15|SD-13,HD-41|HD-45,yes
32836,Orange,12095,orlando,FL-11,1.0,FL-11,SD-13,HD-45|HD-44,no
32837,Orange,12095,orlando,FL-11,0.995,FL-9,SD-25,HD-44,yes
32839,Orange,12095,orlando,FL-10,1.0,FL-9|FL-10,SD-15,HD-41|HD-42,yes
33004,Broward,12011,fort_lauderdale,FL-25,0.742,FL-25,SD-37,HD-101,yes
33004,Broward,12011,fort_lauderdale,FL-24,0.258,FL-25,SD-37,HD-101,yes
33009,Broward,12011,fort_lauderdale,FL-25,0.541,FL-24|FL-25,SD-37,HD-101|HD-105,no
33009,Broward,12011,fort_lauderdale,FL-24,0.459,FL-24|FL-25,SD-37,HD-101|HD-105,no
33010,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-112,no
33012,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-112|HD-110,no
33013,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-112|HD-110,no
33014,Miami-Dade,12086,miami,FL-26,0.785,FL-24|FL-26,SD-39|SD-34,HD-110|HD-107,no
33014,Miami-Dade,12086,miami,FL-24,0.215,FL-24|FL-26,SD-39|SD-34,HD-110|HD-107,no
33015,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-110,no
33016,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-111|HD-110,no
33018,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-111|HD-110,no
33019,Broward,12011,fort_lauderdale,FL-25,1.0,FL-25,SD-37,HD-101,no
33020,Broward,12011,fort_lauderdale,FL-24,0.801,FL-25,SD-37,HD-101|HD-105,yes
33020,Broward,12011,fort_lauderdale,FL-25,0.199,FL-25,SD-37,HD-101|HD-105,yes
33021,Broward,12011,fort_lauderdale,FL-24,0.688,FL-25,SD-37,HD-105|HD-101,yes
33021,Broward,12011,fort_lauderdale,FL-25,0.312,FL-25,SD-37,HD-105|HD-101,yes
33022,Broward,12011,fort_lauderdale,FL-24,1.0,FL-25,SD-37,HD-101,yes
33023,Broward,12011,fort_lauderdale,FL-24,1.0,FL-24|FL-25,SD-37|SD-35,HD-105,yes
